name,image,description,location
"Statue of Amenhotep III and Tiye","D:/GrandEgyptianMuseum/artifacts/Amenhotep_III.jpg","This colossal statue represents King Amenhotep III and Queen Tiye. It is considered a group statue of King Amenhotep III, his royal wife Tiye, and their three daughters. It is the largest group statue ever carved. Dynasty: 18th Dynasty – New Kingdom Material: Limestone Provenance: Luxor","egypt"
"Group Statue of King Menkaure","D:/GrandEgyptianMuseum/artifacts/King_Menkaure.jpg","The goddess Hathor, and on his left is the personification of the Bat nome (province). King Menkaure is shown wearing the White Crown of Upper Egypt. Hathor is crowned with the solar disk and cow horns, while the Bat province figure wears the emblem of her nome on her head. Provenance: Giza, Valley Temple of Menkaure Date: Old Kingdom, 4th Dynasty, Reign of King Menkaure (2490–2472 BCE) Material: Greenish-grey schist","egypt"
"The Funerary Masks of Yuya and Thuya","D:/GrandEgyptianMuseum/artifacts/Yuya_and_Thuya.jpg","The mummies of Yuya and Thuya were discovered wearing cartonnage masks covered with gold leaf. Yuya was the father of Queen Tiye, the Great Royal Wife of King Amenhotep III, and the husband of Thuya. He came from the town of Akhmim, where he is believed to have held a high social status and owned property. Yuya also served as a priest of the Egyptian god Min, the principal deity of the region. Thuya held significant religious titles and was also known as the 'Royal Mother of the Great King's Wife. Date: New Kingdom, 18th Dynasty, Reign of Amenhotep III (1390–1352 BCE) Material: Cartonnage, gold Provenance: Luxor, Valley of the Kings, Tomb of Yuya and Thuya (KV46)","egypt"
"Statue of Khafre","D:/GrandEgyptianMuseum/artifacts/Statue_of_Khafre.jpg","This statue depicts King Khafre, the builder of the second-largest pyramid at Giza. It was discovered in the valley temple of his pyramid complex. The king is seated confidently on the throne, with the sides of the throne adorned with the symbol of the 'Sema Tawy,' representing the unification of Upper and Lower Egypt, signifying his rule over all the lands. The god Horus, depicted as a falcon, stands behind the king’s head, spreading his wings around the king as a symbol of protection. Date: Old Kingdom, 4th Dynasty, Reign of Khafre (c. 2555–2532 BCE) Material: Diorite Provenance: Giza","egypt"
"Statue of Khufu","D:/GrandEgyptianMuseum/artifacts/Statue_of_Khufu.jpg","This small statue depicts King Khufu, the builder of the Great Pyramid at Giza. This 7.5 cm statue is the only one securely attributed to this king. When it was first discovered, the head was missing. Sir Flinders Petrie noted that the break was recent and recognized the significance of the discovery, which led him to order a search for the missing head. After three weeks, the head was finally found. Date: Old Kingdom, 4th Dynasty, Reign of Khufu (c. 2589–2566 BCE) Material: Ivory Provenance: Abydos","egypt"
"Statue of Mentuhotep","D:/GrandEgyptianMuseum/artifacts/Statue_of_Mentuhotep.jpg","King Mentuhotep Nebhepetre, the founder of the Middle Kingdom, succeeded in uniting Egypt for the second time after King Narmer. This statue was discovered by Howard Carter in 1900, accidentally, when his horse stumbled in the outer courtyard of the mortuary temple of the king at Deir el-Bahari in western Luxor. Carter found a well leading to a small chamber, inside which the statue was found wrapped in linen. The king is depicted wearing the Red Crown of Lower Egypt and a special jubilee robe (the 'Heb-Sed' dress), which was worn during the royal festival marking thirty years of the king's reign. The statue's body is painted black, and his arms are crossed over his chest, linking him to the god Osiris, the deity of death, fertility, and resurrection. Date: Middle Kingdom, 11th Dynasty, Reign of Mentuhotep Nebhepetre (c. 2055–2004 BCE) Material: Colored sandstone Provenance: Deir el-Bahari, Mortuary Complex of Mentuhotep Nebhepetre","egypt"
"Statue of the Dwarf Seneb and His Family","D:/GrandEgyptianMuseum/artifacts/Dwarf_Seneb_and_His_Family.jpg","This group statue of the dwarf Seneb and his family was found inside a niche in his tomb at Giza, which is the first tomb to have a dome-shaped roof and circular rooms. Seneb is depicted seated cross-legged, with his wife beside him, lovingly embracing him (her hand on his shoulder), while she is of normal height. To achieve balance in the composition, the sculptor portrayed Seneb's children in place of his legs, making them the same height as his wife. As per the conventions of ancient Egyptian art, both children are depicted nude, each sucking their thumb. The boy stands to the left, his skin colored darker than his sister, who stands to his right. The inscription on the base and in front of the seat mentions that Seneb was a funerary priest during the reigns of Kings Khufu and Djedefra, and was responsible for the royal treasury. Date: Late 5th Dynasty – Early 6th Dynasty (24th–23rd century BCE) Provenance: Giza Material: Painted limestone","egypt"
"Statue of Ka-aper","D:/GrandegyptianMuseum/artifacts/Ka-aper.jpg","Due to the lack of quality timber, such as cedar wood, in ancient egypt, the egyptians had to import it from Lebanon. Also, the nature of wood, which does not withstand the passage of time like stone, made wooden statues rare. This beautiful piece depicts the 'reader scribe' Ka-aper, who was given the nickname 'Sheikh el-Balad' by Mariette's excavation workers, as he resembled the village mayor, a title still used today, even by non-Egyptians. Ka-aper is shown as a stout man, possibly reflecting the appearance of the wealthy. His eyes are inlaid with calcite, crystal, and black stone, outlined with copper, mimicking eye makeup. All these details, along with the facial features, bring life to the statue. Ka-aper is holding what seems to be a cylindrical object in his right hand and a staff in his left hand (the current version is a replica). The statue is in a walking pose, with his left foot stepping forward. Provenance: Saqqara, Mastaba of Ka-aper Date: Old Kingdom, 5th Dynasty (2465–2323 BCE) Material: Wood, eyes made of crystal, calcite, copper, and black stone","egypt"
"Mummy of Queen Hatshepsut","D:/GrandEgyptianMuseum/artifacts/Queen_Hatshepsut.jpg","Queen Hatshepsut was the daughter of King Thutmose I and is one of the most famous figures in ancient Egyptian history. She married her half-brother, Thutmose II, and became the regent for the throne of Egypt. She ruled as the de facto ruler of the country for several years on behalf of her stepson, Thutmose III, who was a child when he ascended the throne. Although ancient Egyptian tradition prohibited a woman from becoming a king, Hatshepsut asserted that, as the daughter of a king and wife to another, she had royal blood and quickly proclaimed herself as king. The mummy of Queen Hatshepsut was discovered in 1903 in tomb (KV 60) in the Valley of the Kings, Luxor. On April 3, 2021, her mummy was transferred along with 22 other royal mummies from the Egyptian Museum in Tahrir to the National Museum of Egyptian Civilization.","egypt"
"Ramesses II","D:/GrandEgyptianMuseum/artifacts/Ramesses_II.jpg","Also known as Ramesses the Great, he was the third pharaoh of the 19th Dynasty (reigned 1279–1213 BCE). He is regarded as the most famous and powerful pharaoh of the New Kingdom period. His successors and later rulers referred to him as the 'Great Ancestor. Ramesses II led several military campaigns to the Levant and reasserted Egyptian control over Canaan. He also led campaigns south to Nubia, where two of his sons accompanied him, as depicted in the inscriptions on the walls of the Temple of the Viceroy.","egypt"
